M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Ouvriers non qualifi‚s de la m‚canique;Services aux entreprises;2650;2000;200
Ouvriers non qualifi‚s de la m‚canique;Services aux particuliers;490;200;100
Ouvriers non qualifi‚s des industries de process;Agriculture;750;270;510
Ouvriers non qualifi‚s des industries de process;Industrie;45620;22690;18090
Ouvriers non qualifi‚s des industries de process;Construction;140;90;10
Ouvriers non qualifi‚s des industries de process;Commerce;3030;1120;1780
Ouvriers non qualifi‚s des industries de process;Services aux entreprises;3690;1850;1140
Ouvriers non qualifi‚s des industries de process;Services aux particuliers;1190;500;110
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Agriculture;70;50;10
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Industrie;1240;790;230
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Construction;26300;15940;4100
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Commerce;530;330;40
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Services aux entreprises;1900;1350;320
Ouvriers non qualifi‚s du gros ?uvre du bƒtiment, des travaux publics, du b‚ton et de l'extraction;Services aux particuliers;3140;1310;860
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Agriculture;50;30;20
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Industrie;1570;1000;150
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Construction;16370;10120;2420
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Commerce;1060;780;190
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Services aux entreprises;3240;2310;350
Ouvriers non qualifi‚s du second ?uvre du bƒtiment;Services aux particuliers;2340;1070;460
Ouvriers non qualifi‚s du textile et du cuir;Agriculture;120;80;100
Ouvriers non qualifi‚s du textile et du cuir;Industrie;3090;1430;490
Ouvriers non qualifi‚s du textile et du cuir;Construction;20;10;10
Ouvriers non qualifi‚s du textile et du cuir;Commerce;400;250;90
Ouvriers non qualifi‚s du textile et du cuir;Services aux entreprises;1780;920;890
Ouvriers non qualifi‚s du textile et du cuir;Services aux particuliers;3080;1080;950
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Agriculture;30;30;0
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Industrie;2090;1290;410
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Construction;160;140;0
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Commerce;90;50;20
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Services aux entreprises;190;100;20
Ouvriers non qualifi‚s du travail du bois et de l'ameublement;Services aux particuliers;430;70;20
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Agriculture;20;20;0
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Industrie;8750;4130;1120
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Construction;310;250;10
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Commerce;200;120;0
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Services aux entreprises;630;480;40
Ouvriers non qualifi‚s travaillant par enlŠvement ou formage de m‚tal;Services aux particuliers;140;60;0
